current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
14.0000	0.3173	0.8779	0.5319	0.8029	0.9159	0.7500	0.5074	1.1448	0.7847	0.5249	0.9502	0.1644	0.7187	0.6279
14.0000	0.3134	0.8810	0.5130	0.8097	0.9179	0.7584	0.4893	1.1822	0.7925	0.5149	0.9539	0.1578	0.7231	0.6256
14.0000	0.3170	0.8806	0.5463	0.8098	0.9143	0.7582	0.5106	1.1757	0.7920	0.5318	0.9522	0.1608	0.7257	0.6287
6.0000	0.7730	0.7241	0.0271	0.4121	0.7814	0.0413	0.0000	3.0353	0.2979	1.7527	0.9822	0.3210	0.0245	1.5863
6.0000	0.7687	0.7252	0.0437	0.4361	0.7672	0.0416	0.0000	3.0082	0.3321	1.7064	0.9802	0.3216	0.0245	1.5776
15.0000	0.3070	0.8825	0.5415	0.8237	0.9172	0.7550	0.5053	1.1679	0.8050	0.4896	0.9531	0.1570	0.7272	0.6065
6.0000	0.7704	0.7262	0.0355	0.4369	0.7729	0.0390	0.0000	3.0232	0.3217	1.7404	0.9823	0.3201	0.0229	1.5849
15.0000	0.3075	0.8820	0.5501	0.8091	0.9180	0.7942	0.5253	0.9529	0.1580	0.7306	0.6058	0.7634	0.5143	1.0808
15.0000	0.3027	0.8857	0.5744	0.8178	0.9182	0.7631	0.5345	1.1238	0.8040	0.5064	0.9542	0.1552	0.7335	0.6007
16.0000	0.3012	0.8860	0.5723	0.8226	0.9179	0.7658	0.5318	1.1281	0.8065	0.4890	0.9534	0.1550	0.7390	0.5920
16.0000	0.2967	0.8888	0.5860	0.8214	0.9236	0.7758	0.5719	1.0249	0.8066	0.4845	0.9558	0.1515	0.7453	0.5902
7.0000	0.7696	0.7257	0.0277	0.4270	0.7832	0.3175	1.7323	0.9811	0.3197	0.0293	1.5811	0.0491	0.0000	2.9990
7.0000	0.7668	0.7258	0.0270	0.4310	0.7840	0.0505	0.0000	3.0165	0.3234	1.7259	0.9800	0.3194	0.0301	1.5755
