current_epoch	train_loss	train_acc	train_f_score_hateful	train_f_score_abusive	train_f_score_normal	train_f_score_spam	train_acc_class_hateful	train_loss_class_hateful	train_acc_class_abusive	train_loss_class_abusive	train_acc_class_normal	train_loss_class_normal	train_acc_class_spam	train_loss_class_spam
22.0000	0.5700	0.7853	0.0548	0.6911	0.8334	0.6230	0.8988	0.9800	0.2537	0.2145	1.2090	0.3127	0.0029	2.8203
22.0000	0.5482	0.7882	0.1455	0.7006	0.8225	0.3226	0.0657	2.2934	0.6250	0.9026	0.9798	0.2552	0.2199	1.1983
26.0000	0.5444	0.7890	0.1352	0.7116	0.8362	0.3133	0.0744	2.2546	0.6396	0.8909	0.9794	0.2507	0.2126	1.2030
23.0000	0.5640	0.7863	0.0819	0.7031	0.8297	0.3040	0.0192	2.6202	0.6354	0.8892	0.9801	0.2549	0.2081	1.2180
23.0000	0.5471	0.7878	0.1355	0.6954	0.8311	0.3090	0.0658	2.2511	0.6218	0.9106	0.9797	0.2514	0.2096	1.2104
27.0000	0.5435	0.7895	0.1452	0.7062	0.8329	0.3157	0.0702	2.2743	0.6352	0.8947	0.9786	0.2523	0.2199	1.1946
24.0000	0.5596	0.7869	0.0827	0.7047	0.8317	0.3068	0.0209	2.5073	0.6356	0.8952	0.9795	0.2559	0.2119	1.2156
28.0000	0.5430	0.7897	0.1420	0.7066	0.8427	0.3110	0.0827	2.2557	0.6394	0.8807	0.9795	0.2495	0.2139	1.2097
24.0000	0.5462	0.7886	0.1467	0.7036	0.8286	0.3161	0.0796	2.2369	0.6335	0.8948	0.9796	0.2515	0.2129	1.2080
25.0000	0.5567	0.7871	0.0944	0.7046	0.8273	0.3151	0.0346	2.4605	0.6372	0.8954	0.9795	0.2535	0.2138	1.2123
29.0000	0.5423	0.7898	0.1586	0.7055	0.8283	0.3167	0.0790	2.2441	0.6366	0.8914	0.9785	0.2512	0.2176	1.1948
25.0000	0.5451	0.7890	0.1398	0.6959	0.8384	0.3153	0.0773	2.2394	0.6292	0.9035	0.9788	0.2533	0.2152	1.2029
26.0000	0.5545	0.7876	0.1193	0.7083	0.8160	0.3071	0.0404	2.4264	0.6358	0.9020	0.9801	0.2529	0.2078	1.2163
30.0000	0.5417	0.7900	0.1649	0.7115	0.8208	0.6391	0.8900	0.9788	0.2511	0.2177	1.1957	0.3201	0.0779	2.2239
26.0000	0.5443	0.7889	0.1451	0.7088	0.8278	0.6326	0.9039	0.9797	0.2500	0.2134	1.2068	0.3176	0.0747	2.2429
31.0000	0.5413	0.7900	0.1458	0.7059	0.8359	0.3221	0.0785	2.2629	0.6328	0.8979	0.9789	0.2490	0.2182	1.1996
27.0000	0.5526	0.7883	0.0931	0.6992	0.8403	0.6314	0.9103	0.9794	0.2533	0.2157	1.2084	0.3164	0.0416	2.3832
27.0000	0.5436	0.7898	0.1443	0.7064	0.8360	0.3185	0.0753	2.2594	0.6388	0.8872	0.9792	0.2521	0.2202	1.1935
32.0000	0.5409	0.7900	0.1596	0.7113	0.8261	0.3221	0.0814	2.2609	0.6419	0.8818	0.9784	0.2498	0.2191	1.1945
